id,field,title
1,IT,"GC녹십자, 성균관대와 학술·연구 교류 업무협약… “고품질 바이오 교육 인프라 구축”"
2,IT,"LK-99 검증위 “국내 4개 연구기관 분석 결과, 초전도 특성 없어”"
3,IT,"토마토시스템, 솔루션 기업도 인정하는 '엑스빌더6'"
4,IT,"위메이드플레이 '어비스리움 매치', 사내 테스트 진행"
5,IT,[人사이트]이영진 제일엠앤에스 대표 “독보적 믹싱 기술로 차세대 배터리 개발 지원”
6,IT,"SK하이닉스, 고려대 반도체학과 학생 전원 미국 유학 보낸다"
7,IT,[이강우의 무지(無智) 무득(無得)]천지임자연(天地任自然)
8,IT,"로앤굿 ""소송금융 서비스 5개월만에 20건 지원…일본보다 2배 빨라"""
9,IT,"英 보안당국, 기업 AI챗봇 사용에 ""아직 위험하다"" 경고"
10,IT,"사우디·中 밀착 경계…美, 엔비디아 AI반도체 중동수출 통제(종합)"
11,IT,"포스코, 철강제품 불량 스스로 개선하는 인공지능 개발"
12,IT,"바이두 등 中기업 4곳, AI챗봇 공개…""당국, 11개 업체 승인"""
13,IT,"토스뱅크, 올 상반기 384억 순손실…적자폭 전년보다 69.1% 줄여"
14,IT,"“가을만 되면 은행 악취에 다들 짜증” 악취 악당…놀라운 변신 [지구, 뭐래?]"
15,IT,"위메이드 '나이트 크로우', 첫 서버 이전 실시"
16,IT,온신협 “네이버 AI의 뉴스 무단 사용은 불공정한 저작권 침해”…신문협회와 공동대응키로
17,IT,"엔비디아 AI 반도체, 중동도 못 산다"
18,IT,"카카오 ESG 보고서, 글로벌 ARC 어워드·LACP 비전 어워드서 각각 최고등급 수상"
19,IT,"넷마블문화재단, 9월5일 '전국 장애학생 e페스티벌' 개최"
20,IT,"넷마블문화재단, 내달 5일 ‘2023 전국 장애학생 e페스티벌’ 개최"
