id,field,title
1,communication,"한국방송통신전파진흥원, 2년 연속 대한민국 ESG대상 수상"
2,communication,"韓-EU 통신사 ""빅테크 망 무임승차 멈춰라"" 공동 성명"
3,communication,홈쇼핑사와 케이블TV 갈등 격화에도 IPTV 업계는 '느긋'
4,communication,美·中 양자보안 힘겨루기 속 韓 주도 '하이브리드 암호기술' 묘수로 부상
5,communication,"과기정통부, 신뢰가능한 AI 위한 '디지털 질서' 정립 방안 논의"
6,communication,"애플에 밀리고 중국·인도에 쫓기고… 삼성 스마트워치, 2분기 점유율 4위로 밀려나"
7,communication,"한국-유럽 통신협회 ""국회, 망무임승차방지법 마련하라"" 한목소리"
8,communication,한국·유럽 통신사 “인터넷 망 공정기여 촉구” 공동성명
9,communication,"한-유럽 통신사업자들, ‘망무임승차방지법’ 촉구 공동성명"
10,communication,"韓·유럽 통신사 ""빅테크 망무임승차, 공유지의 비극""…방지법 마련 촉구"
11,communication,“빅테크 망 무임승차 멈춰야”…한국·유럽 통신사 단체 공동성명
12,communication,"韓·유럽 통신사협회 ""망 무임승차 방지법 마련하라"""
13,communication,[그래픽] 뉴스 댓글 작성 참여도
14,communication,과기정통부·TTA '인증 원스탑 누리집' 제공…모든 정부 인증제도 정보 한자리에
15,communication,"과기정통부, 3차 AI 윤리정책포럼…디지털권리장전 AI윤리 논의"
16,communication,"한국화웨이, 동국대와 국내 ICT 인재 양성 `맞손`"
17,communication,[AWC 2023] 민승규 교수 “전 세계 농업 파워 게임 중… 기술·상상력으로 무장한 韓 소농 유리”
18,communication,"한국화웨이, 동국대와 국내 ICT 인재 양성 협약"
19,communication,"2주년 맞은 SKT `T우주`, `유튜브 프리미엄` 제휴 상품 출시"
20,communication,카카오내비 업그레이드…주행중에도 전체경로 확인
