id,field,title
1,game,"나이언틱 ‘포켓몬고’, 9월5일 팔데아지방 포켓몬 등장"
2,game,"컴투스홀딩스, '빛의 계승자: 이클립스' 사전 예약자 100만 돌파"
3,game,"넷마블문화재단, 9월5일 '전국 장애학생 e페스티벌' 개최"
4,game,"넷마블문화재단, 내달 5일 ‘2023 전국 장애학생 e페스티벌’ 개최"
5,game,"카트라이더 러쉬플러스, 신규 시즌 ‘붐힐 운동회’ 업데이트"
6,game,"위믹스, 미국 가상자산 거래소 '탭비트' 상장"
7,game,"[게시판] 넷마블문화재단, '전국 장애학생 e페스티벌' 개최"
8,game,‘참치 맛집과 낚시 맛집의 만남’…‘낚시의 신: 크루' 동원맛참과 컬래버레이션
9,game,"그라비티, '라그나로크 오리진' 판호 발급…中 진출 가시화"
10,game,"스마일게이트 희망스튜디오 ""디지털로 사회문제 해결""…참가자 모집"
11,game,"'카트라이더 러쉬플러스', 시즌 21 붐힐 운동회 선봬"
12,game,"라라 크로프트, '콜 오브 듀티'에 등장"
13,game,"R2M, 출시 3주년 기념 '유피테르의 축제' 마련"
14,game,"'카발 모바일', 북미 및 유럽 지역 서비스 시작"
15,game,"'데미안 전기', 적을 인형으로 만드는 인형술사 릴리스 등장"
16,game,속 썩이는 ‘다크앤다커’…넥슨에 크래프톤까지 후폭풍 ‘계속’
17,game,"네오위즈, '브라운더스트' PC 버전 스팀 정식 출시"
18,game,"'대항해시대 오리진', 의적 홍길동 모험 특화 S등급 제독으로 등장"
19,game,"'낚시의 신: 크루', 동원맛참과 컬래버레이션 진행"
20,game,"넷마블문화재단, '2023 전국 장애학생 e페스티벌' 내달 개최"
