id,field,title
1,internet,"온신협 '생성형 AI, 뉴스 저작권 침해' 소지...한국신문협회와 공동 대응"
2,internet,0.1초 얼굴인식으로 결제 끝…진화하는 페이 기술
3,internet,"네이버웹툰, 역대 최대 규모 웹툰 팝업스토어 선봬"
4,internet,"오픈마켓 소비자피해, 기업-소비자단체 손잡고 신속 대응"
5,internet,네이버 11개 서비스 20분간 접속 오류·사용 불가
6,internet,"저작권위원회-오픈유케이, 오픈소스 SW 정보 공유 '맞손'"
7,internet,"온신협 'AI 3대 원칙' 발표…""언론사 저작권 존중, 정당한 대가 지불"""
8,internet,딥엑스·플로틱…유럽 시장 공략 위해 IFA에 간다[Geeks' Briefing]
9,internet,"네이버웹툰, 더현대서울서 90평 규모 팝업스토어"
10,internet,"인신협, 제3기 채용연계형 기자교육 수료식 개최"
11,internet,비대면진료 계도기간 종료…닥터나우 ‘병원예약’으로 사업전환
12,internet,"온신협, ""생성형 AI, 학습한 뉴스콘텐츠에 정당한 댓가 지불해야"""
13,internet,네이트온 메신저 대화방에 ‘챗GPT’ 기능 도입
14,internet,한국-EU 통신사업자연합회 '망 무임승차 방지' 공동 성명
15,internet,"위믹스, 美 가상자산 거래소 ‘탭비트(TAPBIT)’ 상장"
16,internet,네이버지도·뉴스·웹툰·바이브…‘네트워크 문제’로 한때 오류
17,internet,[그래픽] 뉴스 댓글 작성 참여도
18,internet,"리멤버 ""역대 최다 스카웃 건수는 937건"""
19,internet,"“700만 소상공인 디지털전환 돕겠다”...카카오, 5년간 300억 지원"
20,internet,"카카오, 소상공인에 5년간 300억원 지원"
