id,field,title
1,mobile,"""대형폐기물 간편하게 버리세요""…익산시, 배출 서비스 확대"
2,mobile,온신협 “네이버 AI의 뉴스 무단 사용은 불공정한 저작권 침해”…신문협회와 공동대응키로
3,mobile,네이버 11개 서비스 20분간 접속 오류·사용 불가
4,mobile,"픽셀8·워치2 나온다…구글 ""10월 4일 신제품 공개"""
5,mobile,"새 대표 맞은 KT, 임단협 채비…노조, 7.1% 인상+1000만원 일시금 제시"
6,mobile,스마트폰 가을대전 합류하는 구글…변수될까
7,mobile,"키르기스스탄, 틱톡 금지 추진…""어린이 정신건강에 악영향"""
8,mobile,"JBL, 레트로 디자인 스피커·턴테이블 출시"
9,mobile,"""갤S24 울트라, 엑시노스 대신 스냅드래곤 탑재"""
10,mobile,"""영상+자막 익숙한 MZ""…티캐스트, 드라마 '힙하게' 자막 제공"
11,mobile,"LG유플러스, 요금제 하나로 모든 방송콘텐츠 보는 ‘프리미엄 환승구독’ 출시"
12,mobile,"플로틱, IFA서 물류로봇 솔루션 선봬…""해외진출 발판 마련"""
13,mobile,"바디프랜드, '셀프메이드 지니어스' 공모전 수상작 발표"
14,mobile,"쿠쿠복지재단, 시흥 저소득층에 창문형에어컨 100대 전달"
15,mobile,'아이폰15' 이어 '픽셀8' 참전…가을에 더 뜨거운 폰 시장
16,mobile,"""복잡한 제품 인증 절차 한눈에""…정부, '인증 원스탑 누리집' 개시"
17,mobile,"韓-EU 통신사 ""빅테크 망 무임승차 방지 정책 필요""…공동성명"
18,mobile,주행중에도 전체경로 확인…카카오내비 '업그레이드'
19,mobile,'C타입' 충전되는 아이폰15…전작과 차이점은
20,mobile,"젠하이저, IFA서 '앰비오 사운드바 미니' 공개…149만원"
