id,field,title
1,science,"GC녹십자, 성균관대와 학술·연구 교류 협약"
2,science,‘한국형 탈피오트’ 국방과학기술 사관학교 설립을 논한다
3,science,"국내 연구실 4곳 ""LK-99 초전도체 아냐"""
4,science,"LK-99 검증위 ""국내 4곳 재현실험서 초전도 특성 사례 없어"""
5,science,"LK-99 검증위 ""4개 기관 시료 재현, 초전도 특성 아직 없어"""
6,science,"동아ST-씨비에스바이오 ""동반진단 기반 항암제 공동연구"""
7,science,"""AI가 사회에 도움을 주려면 어떻게 발전해야 할까"""
8,science,"미용의료기업 코루파마, 코스닥상장 예심청구서 제출"
9,science,서울대도 포스텍도 “LK-99서 초전도 확인 안돼”
10,science,"LK-99 검증위 ""국내 네 곳 재현실험서 초전도성 사례 없어""(종합)"
11,science,"초전도저온학회 “국내 4곳서 LK-99 재현 실험, 초전도 특성 보여주는 사례 없어”"
12,science,코뿔소 등에 올라탄 6t 코끼리…성숙한 어른 없으면 이렇게 된다
13,science,LK-99 검증위 “국내 연구소 4곳서 재현…초전도성 발견 못해”
14,science,"서울대·포항공대 ""LK-99 재현…초전도성 발견 안돼"""
15,science,"LK-99 국내 재현 결과…""4개 실험에서 초전도 특성 나타나지 않아"""
16,science,LK-99 검증위 “국내 연구소 4곳서 재현…초전도 특성 발견 못해”
17,science,"생기원, AI로 5분 걸리던 결함검사 3~5초로 단축"
18,science,30세 이하 젊은 운동선수도 ‘만성 외상성 뇌병증’ 취약하다
19,science,'KAIST 사업화 유망기술 총출동' 테크페어 열려
20,science,'KAIST 사업화 유망기술 총출동' 테크페어 열려
