id,field,title
1,security,"제로트러스트, 블록체인 등 차세대 기술 신규예산 255억 확보"
2,security,지지부진한 간첩죄 개정 논의… 여‧야 모두 필요하다는 법안인데 왜?
3,security,"엑스, 이용자 생체정보·직업·학력 등 수집한다"
4,security,카이스트 테크페어 진행하는 최성율 기술가치창출원장
5,security,2023 카이스트 테크페어
6,security,카이스트 사업화 유망기술 발표하는 명현 교수
7,security,카이스트 사업화 유망기술 발표하는 우운택 교수
8,security,카이스트 사업화 유망기술 발표하는 명현 교수
9,security,"나이스정보통신, CUBOX와 안면인식결제 사업 진출을 위한 MOU 체결"
10,security,한미일 동맹 향한 中 '사이버 공세' 확대
11,security,"슈프리마, 구독형 출입인증 서비스 ‘클루’ 일본 진출"
12,security,"아톤, 라오스 정보통신기술부 대표단과 핀테크 산업 활성화 방안 논의"
13,security,"파이오링크, 네이버클라우드 고객 대상 웹‧API 보안 무상 제공 프로모션"
14,security,"이글루코퍼레이션, 사이버위협 분석 시간 줄이는 기술 개발"
15,security,"이글루코퍼레이션, SIEM 신규 특허 취득"
16,security,"포티넷, 2023 가트너 매직 쿼드런트 단일 SASE 부문서 챌린저 선정"
17,security,하우리 “에어드랍 위장한 피싱메일 주의”
18,security,보안 상장사 상반기 실적 '짭짤'…그래도 '상저하고' 기대되는 이유
19,security,"이글루코퍼레이션, SIEM 특허 취득.. 사이버 위협 분석 시간 단축"
20,security,"세종시, 기회발전특구 유치 본격화…""사이버 보안산업 육성"""
